enabled,id,date,displayDate,sequence,forceId,type,title,description,locationName,lat,lng,participants,importance,sourceIds,certainty,notes,result,casualties,redJoined,redLosses,enemyDefeated,distanceLi,victory,poemLine,poemTitle,poemText,titleEn,descriptionEn,locationNameEn
TRUE,en_19341010_encirclement,19341010,19341010,2,enemy_kmt,围堵,第五次“围剿”后敌军压迫中央苏区,中央苏区第五次反“围剿”失利后，国民党军继续压迫和封锁中央苏区，中央红军被迫实行战略转移。,江西中央苏区周边,25.88,116.03,国民党军; 中央红军,4,src_cpc_century; src_epic_people,medium,,,,,,,,,,,,Enemy pressure around the Central Soviet Area after the fifth encirclement campaign,"After the failure of the fifth counter-encirclement campaign, Nationalist forces kept pressing and blockading the Central Soviet Area, forcing strategic transfer.","Central Soviet Area, Jiangxi"
TRUE,rf_19341010_ruijin,19341010,19341010,2,red_first,启程,中央红军主力开始战略转移,中共中央、中革军委率中央红军主力从中央苏区出发，开始战略转移。数据以瑞金、于都一带作为可视化起点，实际出发涉及多地集结与渡河。,江西瑞金/于都一带,25.88,116.03,毛泽东; 周恩来; 朱德; 博古; 李德,5,src_cpc_century,medium,,,,86000,,,0,,,,,Red First Front Army: Start at 江西瑞金/于都一带,This node marks a start event on the Red First Front Army route near 江西瑞金/于都一带 (19341010).,
TRUE,rf_19341017_yudu,19341017,19341017,3,red_first,渡河,中央红军渡过于都河,中央红军从于都等地夜渡于都河，离开中央苏区腹地。此点用于把起点从政治中心推进到实际行军路线。,江西于都,25.95,115.42,中央红军主力; 于都群众,5,src_cpc_century,medium,,,,,,,350,,,,,Red First Front Army: River crossing at 江西于都,This node marks a river crossing event on the Red First Front Army route near 江西于都 (19341017).,
TRUE,rf_19341021_first_blockade,19341021,19341021,21,red_first,突围,突破第一道封锁线,中央红军离开中央苏区后，先后突破敌军数道封锁线，继续向湘粤桂边界推进。,赣南安远/信丰一带,25.13,115.39,中央红军,3,src_cpc_century,medium,,突破封锁线,,,,,,,,,,Red First Front Army: Breakthrough at 赣南安远/信丰一带,This node marks a breakthrough event on the Red First Front Army route near 赣南安远/信丰一带 (19341021).,
TRUE,sha_19341107_nanliang,19341107,19341107,1,shaanbei_red,根据,南梁革命根据地建设推进,陕甘边革命根据地以南梁为中心逐步发展，为后续陕甘、陕北革命根据地联结奠定基础。此类节点用于说明长征最终落脚点并非凭空出现，而是由西北红军长期开拓形成。,甘肃华池南梁,36.5,108.0,刘志丹; 习仲勋; 陕甘边军民,4,src_shaanbei_12371; src_liuzhidan_mva,month,,,,,,,,,,,,Shaan-Gan: Base building at 甘肃华池南梁,This node marks a base building event on the Shaan-Gan route near 甘肃华池南梁 (19341107).,
TRUE,rf_19341115_third_blockade,19341115,19341115,38,red_first,突围,连续突破第三道封锁线,中央红军向湘江方向推进，连续突破敌军封锁，但部队在持续追击与堵截中消耗加重。,湘南宜章/临武一带,25.28,112.56,中央红军,3,src_cpc_century,medium,,,,,,,,,,,,Red First Front Army: Breakthrough at 湘南宜章/临武一带,This node marks a breakthrough event on the Red First Front Army route near 湘南宜章/临武一带 (19341115).,
TRUE,r25_19341116_hejiachong,19341116,19341116,4,red_25th,启程,红二十五军从何家冲开始长征,红二十五军高举北上抗日第二先遣队旗帜，从河南罗山何家冲出发，开始战略转移。,河南罗山何家冲,31.8,114.52,程子华; 吴焕先; 徐海东,5,src_red25_people; src_dushuzhen_people,medium,,,,2900,,,0,,,,,Red Twenty-Fifth Army: Start at 河南罗山何家冲,This node marks a start event on the Red Twenty-Fifth Army route near 河南罗山何家冲 (19341116).,
TRUE,r25_19341126_dushuzhen,19341126,19341126,5,red_25th,战斗,红二十五军独树镇战斗,红二十五军在河南方城独树镇七里岗附近遭优势敌军包围，27日冲出包围，保存有生力量。,河南方城独树镇,33.3,113.05,吴焕先; 程子华; 徐海东,5,src_dushuzhen_people,medium,,,,,,,,,,,,Red Twenty-Fifth Army: Battle at 河南方城独树镇,This node marks a battle event on the Red Twenty-Fifth Army route near 河南方城独树镇 (19341126).,
TRUE,en_19341127_xiangjiang_block,19341127,19341127,6,enemy_kmt,封锁,湘江一线形成多重封锁,敌军在湘江沿线形成严密封锁，试图截断中央红军西进通道，湘江战役由此成为长征初期最惨烈的战役之一。,广西全州湘江一线,25.95,111.07,国民党军; 中央红军,5,src_epic_people; src_cpc_century,medium,,,,,,,,,,,,Multiple blockade lines form along the Xiang River,"Enemy forces formed dense blockades along the Xiang River, attempting to cut off the westward movement of the Central Red Army.","Xiang River line, Guangxi"
TRUE,rf_19341127_xiangjiang,19341127,19341127,6,red_first,战役,湘江战役开始,中央红军突破第四道封锁线，在湘江两岸付出重大代价。渡过湘江后，中央红军由出发时8.6万余人锐减至3万余人。,广西兴安/全州湘江一线,25.6,110.65,中央红军; 红五军团后卫部队,5,src_cpc_century,medium,,,湘江战役后中央红军由8万余人锐减至约3万余人，损失极为惨重。,,50000,,4200,,,,,Red First Front Army: Campaign at 广西兴安/全州湘江一线,This node marks a campaign event on the Red First Front Army route near 广西兴安/全州湘江一线 (19341127).,
TRUE,rf_19341130_xiangjiang_cover,19341130,19341130,7,red_first,牺牲,红三十四师等部血战湘江，掩护主力突围,湘江战役中，红五军团第34师和红三军团第18团等部担负掩护任务，与数倍敌军苦战，大部壮烈牺牲。,广西全州湘江一线,25.95,111.07,红三十四师; 红十八团; 陈树湘,5,src_epic_people; src_chenshuxiang_xinhua,medium,,,红三十四师等部大部牺牲,,,,,,,,,The 34th Division fights at the Xiang River to cover the main force,"During the Xiang River Campaign, the 34th Division and related covering units fought against overwhelming enemy forces, suffering devastating losses while protecting the main column.","Xiang River area, Quanzhou, Guangxi"
TRUE,rf_19341201_wuling,19341201,19341201,50,red_first,险阻,越过五岭余脉，湘江突围后继续西进,湘江战役后，中央红军在五岭山地间艰难西进。山川阻隔与敌军追堵交织，长征的艰难在此集中展开。,桂北越城岭一带,25.52,110.75,中央红军,4,src_qilv_people; src_qilv_dangjian_2024,medium,,,,,,,,,五岭逶迤腾细浪,五岭并非细浪,五岭山地横亘南方，行军并不轻松。诗句把连绵山脉写成“细浪”，显出红军面对万水千山的气魄。,Red First Front Army: Hardship at 桂北越城岭一带,This node marks a hardship event on the Red First Front Army route near 桂北越城岭一带 (19341201).,
TRUE,rf_19341210_chenshuxiang,19341210,19341210,8,red_first,牺牲,陈树湘壮烈牺牲，红三十四师成为“绝命后卫”,红三十四师师长陈树湘在湘江突围后负伤被俘，最终壮烈牺牲。“为苏维埃流尽最后一滴血”的事迹成为长征壮烈精神的重要象征。,湖南道县一带,25.52,111.6,陈树湘; 红三十四师,5,src_chenshuxiang_xinhua; src_epic_people,medium,,,,,,,,,,,,Chen Shuxiang dies after the Xiang River breakout,"Chen Shuxiang, commander of the 34th Division, was wounded and captured after the Xiang River breakout and died heroically, becoming a symbol of sacrifice on the Long March.","Daoxian area, Hunan"
TRUE,r25_19341210_funiushan,19341210,19341210,9,red_25th,转进,红二十五军越过伏牛山，转入豫陕边,独树镇突围后，红二十五军向伏牛山、豫陕边转进，开始在鄂豫陕边创建新的活动空间。,河南伏牛山一带,33.7,111.5,程子华; 吴焕先; 徐海东; 红二十五军,4,src_red25_people; src_dushuzhen_people,medium,,,,,,,,,,,,The 25th Red Army crosses the Funiu Mountains toward the Henan-Shaanxi border,"After breaking through at Dushuzhen, the 25th Red Army moved into the Funiu Mountains and the Henan-Shaanxi border region.","Funiu Mountains, Henan"
TRUE,r25_19341226_yujiahe,19341210,19341210,9,red_25th,会议,红二十五军庾家河会议后转入鄂豫陕,红二十五军在转战中调整战略方向，推动创建鄂豫陕根据地，并继续承担北上抗日先遣队角色。,陕西商洛庾家河,33.62,110.0,程子华; 吴焕先; 徐海东,4,src_red25_people; src_red25_base_ujn,medium,,,,,,,,,,,,Red Twenty-Fifth Army: Meeting at 陕西商洛庾家河,This node marks a meeting event on the Red Twenty-Fifth Army route near 陕西商洛庾家河 (19341210).,
TRUE,rf_19341212_tongdao,19341212,19341212,7,red_first,会议,通道会议调整进军方向,中央红军在湘桂黔边境转向贵州方向，避免继续按原计划与敌重兵相撞。此节点作为遵义会议前军事路线调整的铺垫。,湖南通道,26.16,109.78,毛泽东; 周恩来; 朱德,4,src_cpc_century,medium,,,,,,,,,,,,Red First Front Army: Meeting at 湖南通道,This node marks a meeting event on the Red First Front Army route near 湖南通道 (19341212).,
TRUE,rf_19341218_liping,19341218,19341218,8,red_first,会议,黎平会议决定向黔北进军,中央政治局在黎平召开会议，采纳向黔北进军的主张，为后续占领遵义和召开遵义会议创造条件。,贵州黎平,26.23,109.13,毛泽东; 周恩来; 朱德; 张闻天,4,src_cpc_century,medium,,,,,,,,,,,,Red First Front Army: Meeting at 贵州黎平,This node marks a meeting event on the Red First Front Army route near 贵州黎平 (19341218).,
TRUE,rf_19350101_houchang,19350101,19350101,102,red_first,会议,猴场会议限制军事指挥权集中于少数人,猴场会议要求重大军事行动须经中央政治局讨论，为遵义会议前进一步纠正错误指挥创造条件。,贵州瓮安猴场,27.1,107.48,中共中央政治局; 中央红军,5,src_cpc_century,medium,,,,,,,,,,,,Red First Front Army: Meeting at 贵州瓮安猴场,This node marks a meeting event on the Red First Front Army route near 贵州瓮安猴场 (19350101).,
TRUE,rf_19350107_zunyi_city,19350107,19350107,10,red_first,到达,中央红军占领遵义,中央红军进入遵义，为召开具有转折意义的遵义会议创造条件。,贵州遵义,27.73,106.92,中央红军,4,src_zunyi_hunan,medium,,,,,,,,,,,,Red First Front Army: Arrival at 贵州遵义,This node marks a arrival event on the Red First Front Army route near 贵州遵义 (19350107).,
TRUE,en_19350110_zunyi_pressure,19350110,19350110,12,enemy_kmt,追堵,敌军向黔北追堵，遵义周边压力上升,中央红军进入黔北后，敌军继续向遵义周边压迫。军事危局与路线调整共同构成遵义会议的背景。,贵州遵义周边,27.69,106.93,国民党军; 中央红军,4,src_party_chronology_xinhua; src_epic_people,medium,,,,,,,,,,,,Enemy pressure rises around Zunyi,"After the Central Red Army entered northern Guizhou, enemy pressure continued around Zunyi, forming the military context of the Zunyi Meeting.","Zunyi area, Guizhou"
TRUE,r25_19350110_eyushan_base,19350110,19350110,13,red_25th,根据,红二十五军开辟鄂豫陕根据地,红二十五军进入鄂豫陕边后，依托山地与群众工作创建新的游击根据地，形成“星星之火”式的支线铺开。,鄂豫陕边区,33.65,110.6,红二十五军; 鄂豫陕边群众,4,src_red25_people,medium,,,,,,,,,,,,The 25th Red Army develops the Hubei-Henan-Shaanxi base area,"In the border region, the 25th Red Army developed a new guerrilla base through mountain warfare and mass work.",Hubei-Henan-Shaanxi border region
TRUE,rf_19350115_zunyi_meeting,19350115,19350115,11,red_first,会议,遵义会议召开,中共中央政治局在遵义召开扩大会议，集中解决军事和组织问题，结束王明“左”倾教条主义在中共中央的统治，确立毛泽东在党和红军中的领导地位。,贵州遵义,27.73,106.92,毛泽东; 张闻天; 周恩来; 朱德; 王稼祥; 博古; 李德,5,src_zunyi_hunan,medium,,,,,,,,,,,,Red First Front Army: Meeting at 贵州遵义,This node marks a meeting event on the Red First Front Army route near 贵州遵义 (19350115).,
