enabled,id,name,nameEn,personType,birthDate,deathDate,hometown,hometownEn,forceId,summary,summaryEn,portrait,themeTags,sourceIds,certainty,sort
TRUE,chen_shuxiang,陈树湘,Chen Shuxiang,烈士,1905,1934-12-10,湖南长沙,"Changsha, Hunan",red_first,红三十四师师长。湘江突围后负伤被俘并壮烈牺牲，“为苏维埃流尽最后一滴血”的事迹成为长征牺牲精神的重要象征。,"Commander of the 34th Division. After the Xiang River breakout, he was wounded, captured, and died heroically, becoming a defining symbol of sacrifice on the Long March.",,绝命后卫;湘江战役;牺牲,src_chenshuxiang_xinhua;src_epic_people,high,10
TRUE,deng_ping,邓萍,Deng Ping,烈士,1908,1935-02-27,四川富顺,"Fushun, Sichuan",red_first,红三军团参谋长。遵义战役前线侦察敌情时牺牲，是长征途中牺牲的红军高级指挥员之一。,"Chief of staff of the Red Third Corps. He was killed while reconnoitering enemy positions before the Zunyi fighting, one of the senior Red Army officers who died during the Long March.",,遵义;侦察;牺牲,src_dengping_people_2025;src_zunyi_hunan,high,20
TRUE,wu_huanxian,吴焕先,Wu Huanxian,烈士,1907,1935-08-21,湖北黄安,"Huang'an, Hubei",red_25th,红二十五军政治委员。率部西征北上途中在甘肃泾川战斗中牺牲，人物线连接鄂豫皖、鄂豫陕与陕北落脚点。,"Political commissar of the Red Twenty-Fifth Army. He was killed near Jingchuan, Gansu during the army's northwestward movement, linking the Hubei-Henan-Anhui, Hubei-Henan-Shaanxi, and northern Shaanxi route stories.",,红二十五军;泾川;牺牲,src_shaanbei_12371;src_red25_people,medium,30
TRUE,liu_zhidan,刘志丹,Liu Zhidan,烈士,1903,1936-04-14,陕西保安,"Bao'an, Shaanxi",shaanbei_red,西北红军和陕甘根据地重要领导人。陕甘根据地成为长征落脚点的重要基础，刘志丹后在东征战斗中牺牲。,A key leader of the northwestern Red Army and the Shaanxi-Gansu base area. The base he helped build became a crucial landing point for the Long March; he later died during the eastern expedition.,,陕甘根据地;落脚点;牺牲,src_shaanbei_12371;src_liuzhidan_mva,medium,40
TRUE,mao_zedong,毛泽东,Mao Zedong,人物,1893-12-26,1976-09-09,湖南湘潭,"Xiangtan, Hunan",red_first,中央红军长征中的重要领导人之一。人物线集中关联遵义会议、四渡赤水、会师和陕北落脚点等条目。,"One of the central leaders during the Long March. His timeline connects major nodes including the Zunyi Meeting, Chishui maneuvering, convergence, and the northern Shaanxi landing point.",,会议;决策;中央红军,src_cpc_century;src_party_chronology_xinhua,high,50
TRUE,zhou_enlai,周恩来,Zhou Enlai,人物,1898-03-05,1976-01-08,江苏淮安,"Huaian, Jiangsu",red_first,中央红军长征中的重要领导人之一，多次出现在会议、渡河、作战调整与会师时刻中。,"A major central leader during the Long March, appearing across meeting, river-crossing, operational adjustment, and convergence nodes.",,会议;指挥;中央红军,src_cpc_century;src_party_chronology_xinhua,high,60
TRUE,zhu_de,朱德,Zhu De,人物,1886-12-01,1976-07-06,四川仪陇,"Yilong, Sichuan",red_first,红军重要领导人之一，人物线横跨中央红军、红四方面军会合及后续北上过程。,"A major Red Army leader whose timeline spans the Central Red Army route, convergence with the Fourth Front Army, and the continued northward movement.",,会师;北上;红军领导,src_cpc_century;src_meetings_xinhua,high,70
TRUE,liu_bocheng,刘伯承,Liu Bocheng,人物,1892-12-04,1986-10-07,四川开县,"Kaixian, Sichuan",red_first,中央红军先遣部队重要指挥员。彝海结盟和强渡大渡河等条目体现军事行动与民族工作交织。,"An important commander in the Central Red Army advance units. His timeline links the Yihai alliance and the Dadu River crossing, where military action and ethnic-relations work intersected.",,彝海结盟;大渡河;民族工作,src_yihai_people;src_zunyi_hunan,high,80
TRUE,xiao_yedan,小叶丹,Xiao Yedan,人物,,1942,四川冕宁,"Mianning, Sichuan",red_first,彝族果基部落首领。彝海结盟后派向导帮助红军通过彝族地区，是地方群众与长征路线相连的重要人物。,"Leader of the Guoji Yi community. After the Yihai alliance, he sent guides to help the Red Army pass through Yi areas, connecting local communities to the Long March route.",,彝海结盟;向导;民族团结,src_yihai_people,medium,90
TRUE,he_long,贺龙,He Long,人物,1896-03-22,1969-06-09,湖南桑植,"Sangzhi, Hunan",red_second,红二、六军团和红二方面军重要领导人。人物线贯穿桑植出发、乌蒙山回旋、甘孜会师和将台堡会师。,"A major leader of the Second and Sixth Corps and the Red Second Front Army. His timeline runs from the Sangzhi departure through the Wumeng maneuver, Garze convergence, and Jiangtaibao convergence.",,红二方面军;乌蒙山;会师,src_red2_start_12371;src_wumeng_people_2023;src_jiangtaibao_12371,high,100
TRUE,ren_bishi,任弼时,Ren Bishi,人物,1904-04-30,1950-10-27,湖南汨罗,"Miluo, Hunan",red_second,红二、六军团和红二方面军重要领导人。人物线体现红二方面军从湘鄂川黔到西北会师的政治组织脉络。,A major leader of the Second and Sixth Corps and the Red Second Front Army. His timeline shows the political and organizational thread from the Hunan-Hubei-Sichuan-Guizhou base area to the final northwestern convergence.,,红二方面军;政治工作;会师,src_red2_start_12371;src_jiangtaibao_12371,high,110
TRUE,he_jiesheng,贺捷生,He Jiesheng,人物,1935-11-01,,湖南桑植,"Sangzhi, Hunan",red_second,出生仅十八天即随红二、六军团踏上长征路。她的展板把宏大军事路线拉回到家庭、生命与战争的微观维度。,"Only eighteen days old when she was carried with the Second and Sixth Corps on the Long March. Her panel brings the grand military route back to family, life, and the human scale of war.",,随军婴儿;家庭;生命,src_hejiesheng_cppcc;src_red2_start_12371,high,120
TRUE,hong_chao,洪超,Hong Chao,烈士,,1934-10-21,,,red_first,红三军团红四师师长。长征初期在江西信丰百石村一带战斗中牺牲，是突围路线上较早牺牲的高级指挥员。,"Commander of the Red Fourth Division of the Third Corps. He was killed near Baishi during the early breakout, one of the early senior officer sacrifices on the route.",,百石战斗;师长;牺牲,src_hongchao_people,medium,130
TRUE,cheng_cuilin,程翠林,Cheng Cuilin,烈士,,1934-12,,,red_first,红三十四师政治委员。湘江战役中随绝命后卫部队掩护中央红军主力突围，大部壮烈牺牲。,"Political commissar of the 34th Division. During the Xiang River Campaign, he served with the covering force that protected the main column at devastating cost.",,红三十四师;湘江;牺牲,src_epic_people;src_chenshuxiang_xinhua,medium,140
TRUE,cai_zhong,蔡中,Cai Zhong,烈士,,1934-12,,,red_first,红三十四师政治部主任。湘江战役后卫掩护叙事中，他与陈树湘、程翠林共同构成红三十四师牺牲群像。,Political department director of the 34th Division. His story helps form the collective sacrifice portrait of the 34th Division alongside Chen Shuxiang and Cheng Cuilin.,,红三十四师;政治工作;牺牲,src_epic_people;src_chenshuxiang_xinhua,medium,150
TRUE,xie_zichang,谢子长,Xie Zichang,烈士,1897,1935-02-21,陕西安定,"Anding, Shaanxi",shaanbei_red,西北红军和陕北苏区创建人之一。中央红军到达陕北之前，西北根据地已经由长期斗争和牺牲支撑起来。,"One of the founders of the northwestern Red Army and Shaanbei Soviet area. Before the Central Red Army arrived, the northwestern base had already been sustained through long struggle and sacrifice.",,陕北根据地;西北红军;牺牲,src_xiezichang_xinhua;src_shaanbei_12371,medium,160
TRUE,luo_nanhui,罗南辉,Luo Nanhui,烈士,1908,1936-10,四川成都,"Chengdu, Sichuan",red_fourth,红四方面军高级指挥员。会宁会师前后在阻击战中牺牲，其人物线提醒观众：胜利记录背后仍有掩护与牺牲。,"A senior commander of the Red Fourth Front Army. He died in covering actions around the final convergence, reminding viewers that victory nodes still carried sacrifice.",,红四方面军;会师掩护;牺牲,src_luonanhui_xinhua;src_meetings_xinhua,medium,170
TRUE,peng_dehuai,彭德怀,Peng Dehuai,军事指挥,1898-10-24,1974-11-29,湖南湘潭,"Xiangtan, Hunan",red_first,中央红军重要军事指挥员。人物线连接出发、娄山关、吴起镇和直罗镇等条目，体现长征后期从突围到立足陕北的军事转变。,"A major commander of the Central Red Army. His timeline connects the departure, Loushan Pass, Wuqi, and Zhiluozhen, showing the shift from breakout to foothold in northern Shaanxi.",,军事指挥;娄山关;陕北立足,src_pengdehuai_people;src_shaanbei_12371,high,180
TRUE,zhang_wentian,张闻天,Zhang Wentian,领导人,1900-08-30,1976-07-01,江苏南汇,"Nanhui, Jiangsu",red_first,中共中央重要领导人。人物线集中在通道、遵义、扎西、榜罗镇等会议条目，体现长征中的组织与路线调整。,"A major central leader whose timeline focuses on the Tongdao, Zunyi, Zhaxi, and Bangluo meetings, showing organizational and strategic adjustment during the march.",,会议;组织调整;路线转折,src_party_chronology_xinhua;src_zunyi_hunan,high,190
TRUE,wang_jiaxiang,王稼祥,Wang Jiaxiang,领导人,1906-08-15,1974-01-25,安徽泾县,"Jingxian, Anhui",red_first,中共中央与红军领导成员之一。遵义会议等条目中的人物线用于呈现长征决策层内部的调整过程。,A central Party and Red Army leader. His timeline around the Zunyi Meeting shows the internal adjustment of leadership during the Long March.,,遵义会议;决策层;政治工作,src_zunyi_hunan;src_party_chronology_xinhua,high,200
TRUE,he_zizhen,贺子珍,He Zizhen,女红军,1909-09-28,1984-04-19,江西永新,"Yongxin, Jiangxi",red_first,参加中央红军长征。川南生女并托孤的条目把战争行军、家庭分离和女性亲历者的痛苦联系在一起。,"A participant in the Central Red Army's Long March. The southern Sichuan childbirth and entrusting episode connects military movement, family separation, and women's lived experience.",,女红军;家庭离散;川南托孤,src_hezizhen_people;src_women_redarmy_81,high,210
TRUE,deng_yingchao,邓颖超,Deng Yingchao,女红军,1904-02-04,1992-07-11,河南光山,"Guangshan, Henan",red_first,参加中央红军长征的女性革命者。人物线把卫生、宣传、组织和艰苦行军纳入路线叙事。,"A woman revolutionary who took part in the Central Red Army's Long March. Her timeline brings health, propaganda, organization, and arduous marching into the route narrative.",,女红军;组织工作;艰苦行军,src_women_redarmy_81;src_cpc_century,high,220
TRUE,cai_chang,蔡畅,Cai Chang,女红军,1900-05-14,1990-09-11,湖南湘乡,"Xiangxiang, Hunan",red_first,参加中央红军长征的女性革命者。人物线用于补充妇女工作、群众动员和政治组织维度。,"A woman revolutionary who took part in the Central Red Army's Long March. Her timeline adds women's work, mass mobilization, and political organization to the route narrative.",,女红军;妇女工作;政治组织,src_women_redarmy_81;src_cpc_century,high,230
TRUE,kang_keqing,康克清,Kang Keqing,女红军,1911-09-07,1992-04-22,江西万安,"Wan'an, Jiangxi",red_first,参加中央红军长征。她的展板补入女性干部、随军组织与长途行军中的生存经验。,"A participant in the Central Red Army's Long March. Her panel adds women cadres, accompanying organization, and survival experience on the march.",,女红军;干部;行军经验,src_women_redarmy_81;src_cpc_century,high,240
TRUE,liu_ying,刘英,Liu Ying,女红军,1905,2002,湖南长沙,"Changsha, Hunan",red_first,参加中央红军长征的女性革命者。人物线可承接宣传、组织、通信和艰苦行军等微观叙事。,"A woman revolutionary who took part in the Central Red Army's Long March. Her timeline can carry micro-narratives of propaganda, organization, communication, and arduous travel.",,女红军;宣传;组织,src_women_redarmy_81,medium,250
TRUE,li_jianzhen,李坚真,Li Jianzhen,女红军,1907,1992,广东丰顺,"Fengshun, Guangdong",red_first,参加中央红军长征的女性革命者。她的档案用于补足女性红军在路线中的多重劳动和政治经验。,A woman revolutionary who took part in the Central Red Army's Long March. Her archive helps show women's multiple forms of work and political experience on the route.,,女红军;群众工作;政治经验,src_women_redarmy_81,medium,260
TRUE,xu_haidong,徐海东,Xu Haidong,军事指挥,1900-06-17,1970-03-25,湖北大悟,"Dawu, Hubei",red_25th,红二十五军重要指挥员。人物线贯穿何家冲出发、独树镇突围、袁家沟口战斗和永坪会师。,"A major commander of the Red Twenty-Fifth Army. His timeline runs through Hejiachong, Dushuzhen, Yuanjiagoukou, and Yongping.",,红二十五军;独树镇;永坪会师,src_red25_people;src_yongping_people,high,270
TRUE,cheng_zihua,程子华,Cheng Zihua,军事指挥,1905-06-20,1991-03-30,山西运城,"Yuncheng, Shanxi",red_25th,红二十五军重要领导人之一。人物线显示红二十五军从鄂豫皖、鄂豫陕到陕北会师的独立路线。,A major leader of the Red Twenty-Fifth Army. His timeline shows the army's independent route from Hubei-Henan-Anhui through Hubei-Henan-Shaanxi to northern Shaanxi.,,红二十五军;北上抗日;独立路线,src_red25_people;src_yongping_people,high,280
TRUE,xu_xiangqian,徐向前,Xu Xiangqian,军事指挥,1901-11-08,1990-09-21,山西五台,"Wutai, Shanxi",red_fourth,红四方面军重要军事指挥员。人物线连接嘉陵江、懋功会师、甘孜会师和会宁会师。,"A major commander of the Red Fourth Front Army. His timeline connects the Jialing River campaign, Maogong convergence, Garze convergence, and Huining convergence.",,红四方面军;嘉陵江;会师,src_redfourth_sichuan;src_meetings_xinhua,high,290
TRUE,chen_changhao,陈昌浩,Chen Changhao,政治工作,1906-09-18,1967-07-30,湖北汉阳,"Hanyang, Hubei",red_fourth,红四方面军重要政治领导人。人物线用于呈现红四方面军长征中的政治组织、会师和路线分歧。,"A major political leader of the Red Fourth Front Army. His timeline shows political organization, convergence, and route disputes within the Fourth Front Army's Long March.",,红四方面军;政治工作;路线分歧,src_redfourth_sichuan;src_meetings_xinhua,medium,300
TRUE,zhang_guotao,张国焘,Zhang Guotao,争议人物,1897-11-26,1979-12-03,江西萍乡,"Pingxiang, Jiangxi",red_fourth,红四方面军路线分歧中的关键人物。该档案用于呈现长征并非单线胜利叙事，也包含严重分歧和组织危机。,A key figure in route disputes within the Red Fourth Front Army. This profile keeps the Long March from becoming a single-line victory story by showing crisis and disagreement.,,路线分歧;卓木碉;组织危机,src_meetings_xinhua;src_party_chronology_xinhua,medium,310
