enabled,id,hallId,title,titleEn,type,summary,summaryEn,relatedEventIds,relatedPersonIds,actionLabel,actionHref,sort,sourceIds
TRUE,ex_intro_names,foyer,从路线进入名字,From Routes to Names,overview,这座线上博物馆以长征路线为经，以人物与英烈为纬。你可以先沿全局路线前行，也可以从一个名字进入，读见一段被战火改写的人生。,"The museum uses the Long March route as its structure and people as its living core. Visitors can begin from the full route or enter through a single name.",rf_19341010_ruijin;rf_19361022_jiangtaibao,chen_shuxiang;liu_zhidan;he_jiesheng,进入路线展厅,museum.html#route,10,src_cpc_century;src_jiangtaibao_12371
TRUE,ex_route_map,route,长征星火路线交互展板,Interactive Long March Spark Route Panel,map,嵌入现有 red-map 作为核心路线展板。地图节点会继续承担事件播放、会师提示和路线筛选功能。,"The existing red-map is preserved as the core route panel, keeping event playback, convergence prompts, and route filtering.",rf_19341010_ruijin;rf_19350115_zunyi_meeting;rf_19361022_jiangtaibao,mao_zedong;zhou_enlai;zhu_de,打开完整地图,index.html,10,src_cpc_century;src_meetings_xinhua
TRUE,ex_martyr_wall,martyrs,英烈画像与名录展板,Martyr Portrait and Name Register,portrait-wall,以烈士姓名、所属部队、牺牲节点、资料可信度组织画像墙。没有照片的个体也以“待考证铭牌”呈现，让缺失本身成为展览内容。,"The portrait wall is organized by name, force, sacrifice node, and source certainty. Individuals without surviving photographs are shown with research plaques so absence itself remains visible.",rf_19341210_chenshuxiang;rf_19350227_dengping;r25_19350821_wuhuanxian_death;sha_19360414_liuzhidan_death,chen_shuxiang;deng_ping;wu_huanxian;liu_zhidan,查看英烈墙,museum.html#martyrs,10,src_chenshuxiang_xinhua;src_dengping_people_2025;src_liuzhidan_mva
TRUE,ex_person_timelines,persons,人物生命时间线展板,Personal Timeline Panels,timeline,每个人物页都像一份微型传记：从生平到战场，从节点到归宿。点开一个名字，就能看到他或她如何在时代激流中留下自己的坐标。,"Each person panel combines basic biography, related events, route nodes, and source notes. Selecting a person reveals how their life connects to the map.",rf_19350522_yihai_alliance;r2_19351101_hejiesheng_start;r2_19361022_jiangtaibao,liu_bocheng;xiao_yedan;he_long;ren_bishi;he_jiesheng,查看人物时间线,museum.html#persons,10,src_yihai_people;src_hejiesheng_cppcc;src_red2_start_12371
TRUE,ex_costs_hidden_line,costs,暗线：牺牲与代价展板,Hidden Line: Sacrifice and Cost,cost-ledger,路线地图告诉我们“他们走到了哪里”，暗线展板追问“他们付出了什么”：后卫牺牲、战斗损失、家属离散、雪山草地与根据地长期支撑，层层叠加成胜利背后的重量。,"The map shows how columns arrived; the hidden-cost panel asks what sustained that arrival: covering-force sacrifice, battle losses, family separation, snow-mountain and grassland hardship, and long-running base work.",rf_19341021_hongchao_death;rf_19341130_xiangjiang_cover;rf_19341210_chenshuxiang;rf_19350227_dengping;sha_19350221_xiezichang_death;r25_19350821_wuhuanxian_death;sha_19360414_liuzhidan_death,hong_chao;chen_shuxiang;cheng_cuilin;cai_zhong;deng_ping;xie_zichang;wu_huanxian;liu_zhidan,查看暗线代价,museum.html#costs,10,src_epic_people;src_hongchao_people;src_xiezichang_xinhua;src_dengping_people_2025
TRUE,ex_turning_points,turning_points,战役会议与转折节点,Battles Meetings and Turning Points,event-cluster,将遵义会议、四渡赤水、强渡大渡河、会宁与将台堡会师等节点组织为路线变化的因果链。,"This panel groups Zunyi, the Chishui maneuvers, the Dadu River crossing, Huining, and Jiangtaibao into a chain of decisions and route changes.",rf_19350115_zunyi_meeting;rf_19350129_tucheng_chishui1;rf_19350525_anshunchang;rf_19350529_luding_bridge;r4_19361009_huining;r2_19361022_jiangtaibao,mao_zedong;zhou_enlai;liu_bocheng;he_long;ren_bishi,查看转折节点,museum.html#turning_points,10,src_zunyi_hunan;src_meetings_xinhua
TRUE,ex_places_memory,places,地点与纪念设施展板,Places and Memory Sites,place-cluster,于都、遵义、泸定、吴起、会宁、将台堡等地点，不只是地理坐标，更是记忆被反复召唤的历史现场。,"This panel connects the route, people, and memorial spaces through places such as Yudu, Zunyi, Luding, Wuqi, Huining, and Jiangtaibao.",rf_19341017_yudu;rf_19350115_zunyi_meeting;rf_19350529_luding_bridge;rf_19351019_wuqi;r4_19361009_huining;r2_19361022_jiangtaibao,mao_zedong;zhou_enlai;he_long,查看地点展板,museum.html#places,10,src_cpc_century;src_jiangtaibao_cppcc
TRUE,ex_archive_sources,archive,资料档案与来源审校,Archives and Source Review,archive,所有展板都保留来源 ID、资料口径和确定性字段。后续微信文章、Steam 文本和地方志材料都应先进入研究目录，再整理为候选条目。,"Every panel keeps source IDs, certainty, and evidence notes. Future WeChat articles, Steam text, and local gazetteer materials should enter the research folder first and then become candidate entries.",,,查看资料规则,EDITING_GUIDE.md,10,
TRUE,ex_method_workflow,method,研究型数字策展方法,Research Digital Curation Method,method,本馆采用“研究材料、策展文本、叙事结构、视觉语言、前端实现、测试复盘”的工作流，把长征路线数据转译为可浏览的展览层级。,"The museum follows a workflow from research materials to curatorial copy, narrative structure, visual language, frontend implementation, and testing review.",,,查看方法说明,EDITING_GUIDE.md,10,
TRUE,ex_memorial_path,memorial,纪念与学习路径,Memorial and Learning Path,memorial,观众可从“路线、英烈、人物、地点、档案”五条路径进入。纪念空间保持克制：未经核实的肖像与原文不做展示，让尊重先于渲染。,"Visitors can learn through five paths: route, martyrs, people, places, and archives. The memorial space remains restrained and avoids publishing unverified portraits or long source text.",,chen_shuxiang;deng_ping;wu_huanxian;liu_zhidan,返回总序厅,museum.html#top,10,

